NAME,year,count,ranking,newRating,newRanking
Python,2020,274521,1,20.3,1
JavaScript,2020,220332,2,16.3,2
Java,2020,207867,3,15.37,3
C++,2020,162365,4,12.01,4
PHP,2020,109826,6,8.12,5
Go,2020,86551,7,6.4,6
C,2020,77744,8,5.75,7
Ruby,2020,66499,10,4.92,8
C#,2020,60513,11,4.48,9
Kotlin,2020,23305,14,1.72,10
Swift,2020,17222,17,1.27,11
Rust,2020,15956,18,1.18,12
Perl,2020,9080,20,0.67,13
Objective-C,2020,8217,21,0.61,14
Dart,2020,5187,29,0.38,15
R,2020,5019,31,0.37,16
Assembly,2020,1926,45,0.14,17
Python,2021,208073,1,20.78,1
JavaScript,2021,153384,2,15.32,2
Java,2021,146936,3,14.68,3
C++,2021,130094,4,12.99,4
PHP,2021,85160,6,8.51,5
Go,2021,62117,7,6.2,6
C,2021,60781,8,6.07,7
Ruby,2021,49657,9,4.96,8
C#,2021,43649,11,4.36,9
Kotlin,2021,17619,14,1.76,10
Swift,2021,11495,15,1.15,11
Rust,2021,10535,17,1.05,12
Perl,2021,7948,19,0.79,13
Objective-C,2021,4543,25,0.45,14
Dart,2021,4222,26,0.42,15
R,2021,3157,31,0.32,16
Assembly,2021,1858,42,0.19,17
Python,2022,187281,1,20.73,1
Java,2022,129567,2,14.34,2
JavaScript,2022,121257,3,13.42,3
C++,2022,115785,4,12.81,4
PHP,2022,74729,6,8.27,5
Go,2022,70384,7,7.79,6
C,2022,53343,8,5.9,7
Ruby,2022,45862,9,5.08,8
C#,2022,39566,10,4.38,9
Rust,2022,20719,13,2.29,10
Kotlin,2022,16061,15,1.78,11
Swift,2022,10677,18,1.18,12
Perl,2022,7719,21,0.85,13
Objective-C,2022,4206,25,0.47,14
Dart,2022,4141,26,0.46,15
R,2022,2262,35,0.25,16
Python,2023,179144,1,20.87,1
Java,2023,120214,2,14.01,2
JavaScript,2023,118611,3,13.82,3
C++,2023,103788,4,12.09,4
PHP,2023,73820,6,8.6,5
Go,2023,73644,7,8.58,6
C,2023,51065,8,5.95,7
Ruby,2023,46884,9,5.46,8
C#,2023,35410,10,4.13,9
Rust,2023,16942,13,1.97,10
Kotlin,2023,14289,15,1.66,11
Swift,2023,7820,19,0.91,12
Perl,2023,6074,21,0.71,13
Dart,2023,4028,24,0.47,14
Objective-C,2023,2691,30,0.31,15
R,2023,2201,35,0.26,16
Assembly,2023,1737,37,0.2,17
