NAME,count,newRating,year,newRanking
Python,26682,17.04,2020,1
JavaScript,26188,16.72,2020,2
C#,13674,8.73,2020,3
C,13641,8.71,2020,4
Go,12605,8.05,2020,5
Rust,10563,6.74,2020,6
C++,9756,6.23,2020,7
Kotlin,9575,6.11,2020,8
PHP,7106,4.54,2020,9
Swift,5643,3.6,2020,10
Java,5483,3.5,2020,11
Dart,4742,3.03,2020,12
Ruby,4184,2.67,2020,13
Assembly,2469,1.58,2020,14
R,1628,1.04,2020,15
Objective-C,1525,0.97,2020,16
Perl,1150,0.73,2020,17
JavaScript,37008,17.57,2021,1
Python,34929,16.58,2021,2
C,21216,10.07,2021,3
C#,17999,8.54,2021,4
Rust,15865,7.53,2021,5
Go,15788,7.49,2021,6
C++,15249,7.24,2021,7
Kotlin,10691,5.07,2021,8
PHP,8852,4.2,2021,9
Java,7020,3.33,2021,10
Dart,7018,3.33,2021,11
Swift,6353,3.02,2021,12
Ruby,4942,2.35,2021,13
Assembly,3578,1.7,2021,14
R,1586,0.75,2021,15
Objective-C,1400,0.66,2021,16
Perl,1175,0.56,2021,17
JavaScript,31551,17.23,2022,1
Python,29350,16.03,2022,2
C,18742,10.24,2022,3
Rust,17113,9.35,2022,4
C#,15681,8.56,2022,5
Go,15500,8.47,2022,6
C++,11896,6.5,2022,7
Kotlin,9316,5.09,2022,8
PHP,7325,4,2022,9
Dart,6083,3.32,2022,10
Java,5627,3.07,2022,11
Swift,5071,2.77,2022,12
Ruby,3907,2.13,2022,13
Assembly,3046,1.66,2022,14
R,1084,0.59,2022,15
Perl,934,0.51,2022,16
Objective-C,877,0.48,2022,17
JavaScript,34984,16.12,2023,1
Python,34712,15.99,2023,2
Rust,26709,12.3,2023,3
C,22327,10.29,2023,4
C#,18591,8.56,2023,5
Go,17992,8.29,2023,6
C++,14229,6.56,2023,7
Kotlin,10557,4.86,2023,8
PHP,8014,3.69,2023,9
Java,6241,2.88,2023,10
Dart,6056,2.79,2023,11
Swift,5386,2.48,2023,12
Ruby,4293,1.98,2023,13
Assembly,3830,1.76,2023,14
R,1110,0.51,2023,15
Perl,1078,0.5,2023,16
Objective-C,954,0.44,2023,17
